         Bounce                        x                        y
              0                      0.3                        1
              1                      1.3                        0
              2                  2.23912                 0.939116
              3                   2.0374               0.00140078
              4                  1.65967                        1
              5                  1.28141                        0
              6                 0.903143                        1
              7                  0.52488                        0
              8                 0.146617                        1
              9                -0.213531                0.0478888
             10                 0.332692                        1
             11                 0.906388                        0
             12                  1.48008                        1
             13                  2.05221               0.00273365
             14                  2.33264                   0.8733
             15                 0.411743                        0
             16                -0.491991                 0.410867
             17                0.0974373                        1
             18                  1.09794                        0
             19                  2.09023                 0.991792
             20                  2.42786                 0.241284
             21                -0.268706                0.0783403
             22                -0.484207                 0.624675
             23               -0.0316536                 0.998997
             24                  1.54641                        0
             25                  2.49038                 0.597588
             26                 0.166966                        1
             27                -0.262351                 0.925643
             28                -0.483617                 0.626943
             29                -0.437577                 0.258078
             30                -0.149679                0.0229294
