   #bounce                    theta                    alpha                   length                       vx                       vy
         0         2.52134316760697        0.785398163397448                        0                        1                        1
         1         2.52134316760697        0.785398163397448          1.4142135623731                        1                       -1
         2         5.25280848065527        0.785398163397448         1.32811128975513                        1                        1
         3        0.340570331068943         1.28403977458335        0.959166304662544        -0.29741360134998        -1.38258639865002
         4         5.83515868966016         1.28403977458335         1.06765279749761       -0.500345149732033         1.32274514973204
         5        0.648574230213295         1.20916828134615          1.0691504426681       -0.500345149732033        -1.32274514973204
         6         5.22501427377011         1.20916828134615          1.0691504426681       -0.500345149732033         1.32274514973204
         7         1.76214128529648         1.20916828134615          1.0691504426681       -0.500345149732033        -1.32274514973204
         8         3.95249993287349         1.20916828134615          1.0691504426681       -0.500345149732033         1.32274514973204
         9         2.61160271110741         1.20916828134615         1.01795008552009       -0.500345149732033        -1.32274514973204
        10         3.49822103509252         1.49118331756049         1.09766799396981         0.70374255038045         1.22668105992716
        11         2.49855316766984         1.04994226287734         1.15287796361433         0.70374255038045        -1.22668105992716
        12         4.52730811468321         1.04994226287734         1.15287796361433         0.70374255038045         1.22668105992716
        13         0.80571538268394         1.04994226287734         1.14972639792311         0.70374255038045        -1.22668105992716
        14         5.84170429896368          1.1545586157223        0.914616587034462        0.433601143171129         1.34610179728009
        15        0.273121441935069          1.1545586157223         2.11009083105193         -1.2874104498138       -0.585298499665112
        16          3.8460687883557        0.426699546422087        0.992747558863313         -1.2874104498138        0.585298499665112
        17          3.2012627170689        0.964872799411733        0.833368819907334         1.00025062363661        0.999749313535439
        18         2.63570035985064         0.78514750834424         1.41456817546788         1.00025062363661       -0.999749313535439
        19         4.90581738474172         0.78514750834424          1.4029568317486         1.00025062363661        0.999749313535439
        20        0.423760626440234        0.966596782376133        0.822957102861584        0.580209609264335        -1.28971190942681
        21         6.10393907086471        0.966596782376133         2.70148731397326        -1.41163871575092       -0.085300270768075
        22         3.46246157127605         0.62771921617702        0.587300291113159       -0.518922981796198         1.31556791499479
        23         3.05778852887473        0.627719216177014        0.587300291113154          1.0897437990911        0.901364772077586
        24         2.69108072104021        0.627719216177007         1.86769162623201         1.19490574165543       -0.756439203478271
        25         5.54210746440031        0.564369611042782         1.11723005957172         1.19490574165543        0.756439203478271
        26       0.0653848743794562         1.20286298238008          2.3580091226796        -1.39346759162357        0.241346371621307
        27         2.60101456365583         0.17149707778686        0.435708906524955        -1.39346759162357       -0.241346371621307
        28         2.81638168310397         0.38086812251208        0.371726524218406       -0.841795018251595        -1.13638952267554
        29         3.05623766298671         0.38086812251208        0.371726524218407        0.175156547572874        -1.40332468938671
        30         3.30831492660493         0.38086812251208        0.371726524218407         1.09529515987639       -0.894610816361683
